[PiCamera @ factory.py:85][DEBUG] 2017-11-10 15:59:42,850: Logging to: logs/2017_Nov_10/PiCamera/15_59_42.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 15:59:42,878: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 15:59:43,143: PiCamera initialized: <picamera.camera.PiCamera object at 0x6df80718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 15:59:43,144: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 15:59:57,120: [log buffer start]
[DEBUG, 1510347590.8403141]: PiCamera image received: ImageMessage(t=1510347590.840306, n=86)
[DEBUG, 1510347590.8724072]: PiCamera image received: ImageMessage(t=1510347590.8723986, n=87)
[DEBUG, 1510347590.9048977]: PiCamera image received: ImageMessage(t=1510347590.9048896, n=88)
[DEBUG, 1510347590.938877]: PiCamera image received: ImageMessage(t=1510347590.9388692, n=89)
[DEBUG, 1510347590.9725218]: PiCamera image received: ImageMessage(t=1510347590.9725137, n=90)
[DEBUG, 1510347591.006475]: PiCamera image received: ImageMessage(t=1510347591.006467, n=91)
[DEBUG, 1510347591.0432267]: PiCamera image received: ImageMessage(t=1510347591.0432181, n=92)
[DEBUG, 1510347591.0764267]: PiCamera image received: ImageMessage(t=1510347591.0764184, n=94)
[DEBUG, 1510347591.141674]: PiCamera image received: ImageMessage(t=1510347591.1416655, n=96)
[DEBUG, 1510347591.1744192]: PiCamera image received: ImageMessage(t=1510347591.1744113, n=97)
[DEBUG, 1510347591.207252]: PiCamera image received: ImageMessage(t=1510347591.207234, n=98)
[DEBUG, 1510347591.239674]: PiCamera image received: ImageMessage(t=1510347591.2396655, n=99)
[DEBUG, 1510347591.2716954]: PiCamera image received: ImageMessage(t=1510347591.2716875, n=100)
[DEBUG, 1510347591.3043945]: PiCamera image received: ImageMessage(t=1510347591.3043861, n=101)
[DEBUG, 1510347591.3380766]: PiCamera image received: ImageMessage(t=1510347591.3380585, n=102)
[DEBUG, 1510347591.3716002]: PiCamera image received: ImageMessage(t=1510347591.3715854, n=103)
[DEBUG, 1510347591.4371572]: PiCamera image received: ImageMessage(t=1510347591.4371395, n=104)
[DEBUG, 1510347591.5022857]: PiCamera image received: ImageMessage(t=1510347591.5022707, n=105)
[DEBUG, 1510347591.5353506]: PiCamera image received: ImageMessage(t=1510347591.5353353, n=106)
[DEBUG, 1510347591.5697665]: PiCamera image received: ImageMessage(t=1510347591.5697517, n=107)
[DEBUG, 1510347591.674813]: PiCamera image received: ImageMessage(t=1510347591.674797, n=108)
[DEBUG, 1510347591.7092063]: PiCamera image received: ImageMessage(t=1510347591.7091913, n=109)
[DEBUG, 1510347591.7468667]: PiCamera image received: ImageMessage(t=1510347591.7468529, n=111)
[DEBUG, 1510347591.878258]: PiCamera image received: ImageMessage(t=1510347591.8782399, n=112)
[DEBUG, 1510347591.9778264]: PiCamera image received: ImageMessage(t=1510347591.977808, n=113)
[DEBUG, 1510347592.0127869]: PiCamera image received: ImageMessage(t=1510347592.0127685, n=114)
[DEBUG, 1510347592.0467021]: PiCamera image received: ImageMessage(t=1510347592.0466876, n=115)
[DEBUG, 1510347592.126807]: PiCamera image received: ImageMessage(t=1510347592.1267865, n=116)
[DEBUG, 1510347592.2251115]: PiCamera image received: ImageMessage(t=1510347592.2250962, n=117)
[DEBUG, 1510347592.3306234]: PiCamera image received: ImageMessage(t=1510347592.330608, n=118)
[DEBUG, 1510347592.365701]: PiCamera image received: ImageMessage(t=1510347592.3656862, n=119)
