[PiCamera @ factory.py:85][DEBUG] 2017-11-10 19:52:25,666: Logging to: logs/2017_Nov_10/PiCamera/19_52_25.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 19:52:25,696: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 19:52:25,961: PiCamera initialized: <picamera.camera.PiCamera object at 0x6deb1718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 19:52:25,962: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 19:52:39,418: [log buffer start]
[DEBUG, 1510361553.4626923]: PiCamera image received: ImageMessage(t=1510361553.462677, n=88)
[DEBUG, 1510361553.4977605]: PiCamera image received: ImageMessage(t=1510361553.4977458, n=89)
[DEBUG, 1510361553.5333424]: PiCamera image received: ImageMessage(t=1510361553.5333252, n=90)
[DEBUG, 1510361553.6041312]: PiCamera image received: ImageMessage(t=1510361553.604115, n=91)
[DEBUG, 1510361553.6395812]: PiCamera image received: ImageMessage(t=1510361553.639566, n=92)
[DEBUG, 1510361553.672695]: PiCamera image received: ImageMessage(t=1510361553.6726797, n=93)
[DEBUG, 1510361553.7748177]: PiCamera image received: ImageMessage(t=1510361553.7748034, n=94)
[DEBUG, 1510361553.8100095]: PiCamera image received: ImageMessage(t=1510361553.8099937, n=95)
[DEBUG, 1510361553.8433495]: PiCamera image received: ImageMessage(t=1510361553.8433337, n=96)
[DEBUG, 1510361553.9093251]: PiCamera image received: ImageMessage(t=1510361553.9093084, n=97)
[DEBUG, 1510361553.9459546]: PiCamera image received: ImageMessage(t=1510361553.945938, n=98)
[DEBUG, 1510361554.0468702]: PiCamera image received: ImageMessage(t=1510361554.0468538, n=99)
[DEBUG, 1510361554.08392]: PiCamera image received: ImageMessage(t=1510361554.0839043, n=100)
[DEBUG, 1510361554.1579123]: PiCamera image received: ImageMessage(t=1510361554.1578941, n=101)
[DEBUG, 1510361554.1922243]: PiCamera image received: ImageMessage(t=1510361554.192209, n=102)
[DEBUG, 1510361554.2588305]: PiCamera image received: ImageMessage(t=1510361554.258815, n=103)
[DEBUG, 1510361554.3727415]: PiCamera image received: ImageMessage(t=1510361554.3727255, n=104)
[DEBUG, 1510361554.4059718]: PiCamera image received: ImageMessage(t=1510361554.4059563, n=105)
[DEBUG, 1510361554.4726865]: PiCamera image received: ImageMessage(t=1510361554.4726717, n=106)
[DEBUG, 1510361554.588644]: PiCamera image received: ImageMessage(t=1510361554.5886297, n=107)
[DEBUG, 1510361554.697423]: PiCamera image received: ImageMessage(t=1510361554.6974077, n=108)
[DEBUG, 1510361554.7320585]: PiCamera image received: ImageMessage(t=1510361554.7320433, n=109)
[DEBUG, 1510361554.802734]: PiCamera image received: ImageMessage(t=1510361554.8027186, n=110)
[DEBUG, 1510361554.8723752]: PiCamera image received: ImageMessage(t=1510361554.8723598, n=111)
[DEBUG, 1510361554.9756184]: PiCamera image received: ImageMessage(t=1510361554.975603, n=112)
[DEBUG, 1510361555.009065]: PiCamera image received: ImageMessage(t=1510361555.009049, n=113)
[DEBUG, 1510361555.1084323]: PiCamera image received: ImageMessage(t=1510361555.1084166, n=114)
[DEBUG, 1510361555.225403]: PiCamera image received: ImageMessage(t=1510361555.2253883, n=115)
[DEBUG, 1510361555.258195]: PiCamera image received: ImageMessage(t=1510361555.2581794, n=116)
[DEBUG, 1510361555.2923076]: PiCamera image received: ImageMessage(t=1510361555.2922912, n=117)
[DEBUG, 1510361555.3265805]: PiCamera image received: ImageMessage(t=1510361555.3265648, n=118)
[DEBUG, 1510361555.3599393]: PiCamera image received: ImageMessage(t=1510361555.3599243, n=119)
[DEBUG, 1510361555.466629]: PiCamera image received: ImageMessage(t=1510361555.4666133, n=120)
[DEBUG, 1510361555.5006144]: PiCamera image received: ImageMessage(t=1510361555.5005994, n=122)
