[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:48:30,950: Logging to: logs/2017_Oct_27/PiCamera/15_48_30.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:48:30,992: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:48:31,258: PiCamera initialized: <picamera.camera.PiCamera object at 0x6ff00ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:48:31,259: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:48:33,291: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_48_30.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:48:43,236: [log buffer start]
[DEBUG, 1509133721.3791711]: PiCamera image received: ImageMessage(t=1509133721.3791544, n=134)
[DEBUG, 1509133721.412949]: PiCamera image received: ImageMessage(t=1509133721.4129343, n=135)
[DEBUG, 1509133721.4799926]: PiCamera image received: ImageMessage(t=1509133721.4799767, n=136)
[DEBUG, 1509133721.512591]: PiCamera image received: ImageMessage(t=1509133721.5125751, n=137)
[DEBUG, 1509133721.5451534]: PiCamera image received: ImageMessage(t=1509133721.5451381, n=138)
[DEBUG, 1509133721.5777516]: PiCamera image received: ImageMessage(t=1509133721.5777342, n=139)
[DEBUG, 1509133721.6457596]: PiCamera image received: ImageMessage(t=1509133721.6457448, n=140)
[DEBUG, 1509133721.7154877]: PiCamera image received: ImageMessage(t=1509133721.7154722, n=141)
[DEBUG, 1509133721.7843273]: PiCamera image received: ImageMessage(t=1509133721.7843132, n=142)
[DEBUG, 1509133721.8168883]: PiCamera image received: ImageMessage(t=1509133721.8168721, n=143)
[DEBUG, 1509133721.8493247]: PiCamera image received: ImageMessage(t=1509133721.8493097, n=144)
[DEBUG, 1509133721.881602]: PiCamera image received: ImageMessage(t=1509133721.8815875, n=145)
[DEBUG, 1509133721.9141488]: PiCamera image received: ImageMessage(t=1509133721.914135, n=146)
[DEBUG, 1509133721.9785337]: PiCamera image received: ImageMessage(t=1509133721.978519, n=147)
